Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
Abunai: Koi no Sousa Shitsu,PSP,2012,Action,Quinrose,0,0,0.01,0,0.01,,,,,,
Abunai: Koi no Sousa Shitsu,PSV,2015,Action,Asgard,0,0,0.02,0,0.02,,,,,,
Accel World: Ginyoku no Kakusei,PS3,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03,,,,,,
Accel World: Ginyoku no Kakusei,PSP,2012,Adventure,Namco Bandai Games,0,0,0.03,0,0.03,,,,,,
Accel World: Kasoku no Chouten,PS3,2013,Adventure,Namco Bandai Games,0,0,0.02,0,0.02,,,,,,
Accel World: Kasoku no Chouten,PSP,2013,Adventure,Namco Bandai Games,0,0,0.01,0,0.01,,,,,,
Ace Attorney 6,3DS,2016,Adventure,Capcom,0,0,0.27,0,0.27,,,,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,3DS,2013,Action,D3Publisher,0.1,0.03,0,0.01,0.15,,,,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,X360,2013,Action,D3Publisher,0.03,0.04,0,0.01,0.08,,,,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,PS3,2013,Action,D3Publisher,0.02,0.01,0,0.01,0.05,,,,,,
Adventure Time: Explore the Dungeon Because I Don't Know!,WiiU,2013,Action,D3Publisher,0.02,0.01,0,0,0.04,,,,,,
Adventure Time: Finn & Jake Investigations,PS4,2015,Action,Little Orbit,0.03,0.05,0,0.02,0.09,,,,,,
Adventure Time: Finn & Jake Investigations,PS3,2015,Action,Little Orbit,0.02,0.05,0,0.01,0.09,,,,,,
Adventure Time: Finn & Jake Investigations,3DS,2015,Action,Little Orbit,0.03,0.05,0,0.01,0.08,,,,,,
Adventure Time: Finn & Jake Investigations,X360,2015,Action,Little Orbit,0.03,0.05,0,0.01,0.08,,,,,,
Adventure Time: Finn & Jake Investigations,XOne,2015,Action,Little Orbit,0.03,0.02,0,0,0.05,,,,,,
Adventure Time: Finn & Jake Investigations,WiiU,2015,Action,Little Orbit,0.03,0.02,0,0,0.05,,,,,,
Adventure Time: The Secret of the Nameless ,3DS,2014,Adventure,Little Orbit,0.01,0,0,0,0.02,,,,,,
Adventure Time: The Secret of the Nameless ,X360,2014,Adventure,Little Orbit,0.01,0,0,0,0.01,,,,,,
Adventure Time: The Secret of the Nameless Kingdom,3DS,2014,Action,Little Orbit,0,0.07,0,0,0.08,65,5,5.6,8,WayForward,E10+
Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,0,0.05,0,0,0.06,58,5,7.5,4,WayForward,E10+
Aegis of Earth: Protonovus Assault,PSV,2016,Action,PQube,0.01,0.01,0,0.01,0.03,,,8.3,8,Acquire,T
Aegis of Earth: Protonovus Assault,PS4,2016,Action,PQube,0.02,0,0,0,0.03,57,11,7.8,9,Acquire,T
Aegis of Earth: Protonovus Assault,PS3,2016,Action,PQube,0.01,0.01,0,0,0.02,,,tbd,,Acquire,T
Agatha Christie's The ABC Murders,PS4,2016,Adventure,Microids,0.01,0.01,0,0,0.03,67,17,6.2,12,Microids,T
Agatha Christie's The ABC Murders,XOne,2016,Adventure,Microids,0.01,0,0,0,0.01,66,7,7.5,8,Microids,
Aikatsu Stars! My Special Appeal,3DS,2016,Action,Namco Bandai Games,0,0,0.01,0,0.01,,,,,,
Aikatsu! 2-nin no My Princess,3DS,2013,Action,Namco Bandai Games,0,0,0.26,0,0.26,,,,,,
Aikatsu! 365 Idol Days,3DS,2014,Adventure,Namco Bandai Games,0,0,0.13,0,0.13,,,,,,
Aikatsu! Cinderella Lesson,3DS,2012,Role-Playing,Namco Bandai Games,0,0,0.2,0,0.2,,,,,,
Aikatsu! My No.1 Stage!,3DS,2015,Misc,Namco Bandai Games,0,0,0.08,0,0.08,,,,,,
Ailu de Puzzle,PSP,2012,Action,Capcom,0,0,0.04,0,0.04,,,,,,
Airship Q,PSV,2015,Platform,Cygames,0,0,0.03,0,0.03,,,,,,
Aiyoku no Eustia,PSV,2014,Misc,dramatic create,0,0,0.01,0,0.01,,,,,,
Akatsuki no Goei Trinity,PSP,2012,Adventure,5pb,0,0,0.01,0,0.01,,,,,,
Akatsuki no Goei Trinity,PS3,2012,Adventure,5pb,0,0,0.01,0,0.01,,,,,,
AKB1/149: Love Election,PSP,2012,Adventure,Namco Bandai Games,0,0,0.23,0,0.23,,,,,,
AKB1/149: Love Election,PSV,2012,Adventure,Namco Bandai Games,0,0,0.07,0,0.07,,,,,,
AKB1/149: Love Election,PS3,2013,Adventure,Namco Bandai Games,0,0,0.08,0,0.08,,,,,,
AKB48+Me,3DS,2012,Action,Unknown,0,0,0.11,0,0.11,,,,,,
Akiba's Trip Plus,PSP,2012,Adventure,Acquire,0,0,0.08,0,0.08,,,,,,
Akiba's Trip: Undead & Undressed,PSV,2013,Action,Nippon Ichi Software,0.04,0.02,0.08,0.01,0.16,,,,,,
Akiba's Trip: Undead & Undressed,PS3,2013,Action,Nippon Ichi Software,0.05,0.01,0.04,0.01,0.11,,,,,,
Akiba's Trip: Undead & Undressed,PS4,2014,Action,Acquire,0.08,0,0.01,0.02,0.12,,,,,,
Alia's Carnival! Sacrament,PSV,2015,Adventure,dramatic create,0,0,0.03,0,0.03,,,,,,
Alien: Isolation,PS4,2014,Shooter,Sega,0.34,0.57,0.04,0.17,1.13,79,50,8.1,795,Creative Assembly,M
Alien: Isolation,XOne,2014,Shooter,Sega,0.22,0.24,0,0.04,0.51,78,24,7.8,314,Creative Assembly,M
Alien: Isolation,PS3,2014,Shooter,Sega,0.12,0.16,0,0.05,0.33,,,8.3,111,Creative Assembly,M
Alien: Isolation,X360,2014,Shooter,Sega,0.15,0.1,0,0.02,0.28,,,8.2,113,Creative Assembly,M
Aliens: Colonial Marines,X360,2013,Shooter,Sega,0.36,0.34,0,0.07,0.77,48,47,3.8,449,Gearbox Software,M
Aliens: Colonial Marines,PS3,2013,Shooter,Sega,0.2,0.29,0,0.11,0.6,43,25,3.6,295,Gearbox Software,M
All Kamen Rider: Rider Generation 2,DS,2012,Action,Namco Bandai Games,0,0,0.1,0,0.1,,,,,,
All Kamen Rider: Rider Generation 2,PSP,2012,Action,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Amagami,PSV,2014,Adventure,Kadokawa Games,0,0,0.04,0,0.04,,,,,,
Amatsumi Sora ni! Kumo no Hatate ni,PSV,2015,Adventure,Prototype,0,0,0.02,0,0.02,,,,,,
Amnesia Crowd,PSP,2013,Misc,Idea Factory,0,0,0.05,0,0.05,,,,,,
Amnesia Later,PSP,2012,Misc,Idea Factory,0,0,0.05,0,0.05,,,,,,
Amnesia Later,PSV,2014,Misc,Idea Factory,0,0,0.01,0,0.01,,,,,,
AMNESIA World,PSV,2014,Adventure,Idea Factory,0,0,0.03,0,0.03,,,,,,
Anarchy Reigns,PS3,2012,Action,Sega,0.1,0.03,0.06,0.02,0.2,71,35,8.2,106,PlatinumGames,M
Anarchy Reigns,X360,2012,Action,Sega,0.12,0.02,0.02,0.01,0.17,73,38,7.9,105,PlatinumGames,M
Angelique Retour,PSV,2015,Action,Tecmo Koei,0,0,0.02,0,0.02,,,,,,
Angry Birds Star Wars,3DS,2013,Strategy,Activision,0.15,0.15,0,0.03,0.34,,,3,8,Exient Entertainment,E
Angry Birds Star Wars,PS3,2013,Strategy,Activision,0.1,0.14,0,0.05,0.29,49,6,3.6,23,Exient Entertainment,E
Angry Birds Star Wars,X360,2013,Strategy,Activision,0.16,0.1,0,0.02,0.28,59,3,5.6,25,Exient Entertainment,E
Angry Birds Star Wars,Wii,2013,Strategy,Activision,0.15,0.09,0,0.02,0.26,,,2.8,5,Exient Entertainment,E
Angry Birds Star Wars,PS4,2013,Strategy,Activision,0.1,0.08,0,0.04,0.21,47,5,2,87,Exient Entertainment,E
Angry Birds Star Wars,XOne,2013,Strategy,Activision,0.11,0.04,0,0.02,0.16,53,4,6.9,63,Exient Entertainment,E
Angry Birds Star Wars,WiiU,2013,Strategy,Activision,0.05,0.04,0,0.01,0.1,,,6.8,17,Exient Entertainment,E
Angry Birds Star Wars,PSV,2013,Strategy,Activision,0.03,0.03,0,0.02,0.08,,,2,13,Exient Entertainment,E
Angry Birds Trilogy,3DS,2012,Action,Activision,0.38,0.2,0,0.05,0.63,62,7,4.6,20,Exient Entertainment,E
Angry Birds Trilogy,X360,2012,Action,Activision,0.18,0.05,0,0.02,0.26,63,13,3.5,27,"Rovio Mobile, Rovio Entertainment",E
Angry Birds Trilogy,PS3,2012,Action,Activision,0.12,0.02,0,0.03,0.16,66,8,3.7,20,"Rovio Mobile, Rovio Entertainment",E
Anima - Gate of Memories,PS4,2016,Action,Avanquest,0,0.02,0,0,0.02,52,13,7.9,34,"Edge Entertainment, Anima Project",T
Animal Crossing: Amiibo Festival,WiiU,2015,Misc,Nintendo,0.19,0.11,0.09,0.03,0.41,46,20,4.4,173,"Nintendo, Nd Cube",E
Animal Crossing: Happy Home Designer,3DS,2015,Simulation,Nintendo,0.51,1.02,1.4,0.12,3.05,66,60,6.9,106,Nintendo,E
Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2.03,2.36,4.39,0.39,9.16,88,70,8.7,626,Nintendo,E
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,PSP,2012,Action,5pb,0,0,0.02,0,0.02,,,,,,
Ansatsu Kyoushitsu: Assassin Ikusei Keikaku!!,3DS,2016,Action,Namco Bandai Games,0,0,0.06,0,0.06,,,,,,
Ao no Exorcist: Genkoku no Labyrinth,PSP,2012,Action,Namco Bandai Games,0,0,0.04,0,0.04,,,,,,
Ao no Kanata no Four Rhythm,PSV,2016,Adventure,Unknown,0,0,0.03,0,0.03,,,,,,
Aquapazza: Aquaplus Dream Match,PS3,2012,Fighting,Aqua Plus,0.05,0,0.05,0.01,0.11,75,13,7.8,20,Examu,T
Ar Nosurge: Ode to an Unborn Star,PS3,2014,Role-Playing,Tecmo Koei,0.05,0.03,0.06,0.02,0.16,67,23,7.8,49,Gust,T
Ar Nosurge: Ode to an Unborn Star,PSV,2014,Role-Playing,Tecmo Koei,0,0,0.04,0,0.04,,,,,,
Arabians Lost: The Engagement on Desert,PSP,2012,Adventure,Quinrose,0,0,0.01,0,0.01,,,,,,
Arcana Famiglia 2,PSP,2013,Adventure,Comfort,0,0,0.02,0,0.02,,,,,,
Arcana Famiglia: Vascello Phantasma no Majutsushi,PSP,2012,Action,Comfort,0,0,0.02,0,0.02,,,,,,
Arcana Heart 3,PSV,2014,Fighting,Arc System Works,0.02,0,0.02,0.01,0.04,,,,,,
Arcania: Gothic 4,PS4,2015,Role-Playing,Nordic Games,0.04,0,0,0.01,0.05,,,,,,
Armored Core V,PS3,2012,Simulation,Namco Bandai Games,0.09,0.04,0.24,0.02,0.39,65,26,7.3,47,From Software,T
Armored Core V,X360,2012,Simulation,Namco Bandai Games,0.13,0.03,0.04,0.01,0.21,68,37,7.2,37,From Software,T
Armored Core: Verdict Day,PS3,2013,Simulation,From Software,0,0,0.12,0,0.12,66,18,7.4,28,From Software,T
Army of Two: The Devil's Cartel,PS3,2013,Shooter,Electronic Arts,0.11,0.11,0.01,0.05,0.28,58,27,6.7,100,Visceral Games,M
Army of Two: The Devil's Cartel,X360,2013,Shooter,Electronic Arts,0.16,0.07,0,0.02,0.26,54,55,6.2,195,Visceral Games,M
Arslan: The Warriors of Legend,PS4,2015,Action,Tecmo Koei,0.03,0.01,0.04,0.01,0.09,69,43,6.6,23,Omega Force,T
Arslan: The Warriors of Legend,PS3,2015,Action,Tecmo Koei,0,0,0.05,0,0.05,,,tbd,,Omega Force,T
Arslan: The Warriors of Legend,XOne,2016,Action,Tecmo Koei,0.01,0,0,0,0.02,,,5.8,12,Omega Force,T
Art Academy: Home Studio,WiiU,2015,Misc,Nintendo,0,0,0.01,0,0.01,82,9,8.3,20,Headstrong Games,E
Art Academy: Lessons for Everyone,3DS,2012,Action,Nintendo,0.2,0.04,0.21,0.02,0.46,81,14,7.6,22,"Nintendo, Headstrong Games",E
Assassination Classroom: Grand Siege on Kuro-sensei,3DS,2015,Action,Namco Bandai Games,0,0,0.13,0,0.13,,,,,,
Assassin's Creed Chronicles,PS4,2016,Action,Ubisoft,0.01,0.05,0.01,0.01,0.09,,,6.1,12,Climax Studios,T
Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,0.01,0.04,0.01,0.01,0.07,70,6,8,24,Climax Studios,T
Assassin's Creed Chronicles,XOne,2016,Action,Ubisoft,0,0.01,0,0,0.01,,,6.8,8,Climax Studios,T
Assassin's Creed Chronicles: China,PS4,2015,Action,Ubisoft,0,0.03,0,0.01,0.04,69,44,6.4,83,"Climax Group, Climax Studios",T
Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,2.52,0.16,1.12,6.45,85,41,6.9,1307,Ubisoft,M
Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,1.69,0.03,0.44,5.29,84,61,6.7,1196,Ubisoft,M
Assassin's Creed III,WiiU,2012,Action,Ubisoft,0.19,0.13,0,0.03,0.35,85,26,7.1,216,Ubisoft Quebec,M
Assassin's Creed III: Liberation,PSV,2012,Action,Ubisoft,0.53,0.48,0.06,0.24,1.32,70,71,7.2,318,Ubisoft,M
Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71,88,36,8.1,840,Ubisoft,M
Assassin's Creed IV: Black Flag,X360,2013,Action,Ubisoft,1.9,1.11,0.01,0.29,3.3,86,35,7.9,701,Ubisoft,M
Assassin's Creed IV: Black Flag,PS4,2013,Action,Ubisoft,1.07,1.31,0.06,0.42,2.85,83,29,7.8,1530,Ubisoft,M
Assassin's Creed IV: Black Flag,XOne,2013,Action,Ubisoft,1.48,0.55,0,0.21,2.23,,,7.4,355,Ubisoft,M
Assassin's Creed IV: Black Flag,WiiU,2013,Action,Ubisoft,0.17,0.09,0,0.03,0.29,86,5,7.7,207,Ubisoft,M
Assassin's Creed Syndicate,PS4,2015,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76,86,6.8,1319,Ubisoft Quebec,M
Assassin's Creed Syndicate,XOne,2015,Action,Ubisoft,0.62,0.56,0,0.11,1.3,78,22,6.1,402,Ubisoft Quebec,M
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.04,0.13,0,0.03,0.2,72,32,7.4,49,Ubisoft Montreal,M
Assassin's Creed The Ezio Collection,XOne,2016,Action,Ubisoft,0.03,0.04,0,0.01,0.08,74,13,7.6,24,Ubisoft Montreal,M
Assassin's Creed: Rogue,PS3,2014,Action,Ubisoft,0.46,0.56,0.06,0.2,1.29,72,53,7.5,292,Ubisoft Sofia,M
Assassin's Creed: Rogue,X360,2014,Action,Ubisoft,0.58,0.34,0,0.09,1.01,72,32,7.3,318,Ubisoft,M
Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70,40,4.9,2050,"Ubisoft, Ubisoft Montreal",M
Assassin's Creed: Unity,XOne,2014,Action,Ubisoft,2.27,0.9,0,0.33,3.5,72,59,4.1,1005,"Ubisoft, Ubisoft Montreal",M
Assault Suit Leynos,PS4,2016,Shooter,Rising Star Games,0.02,0,0,0,0.02,67,8,tbd,,Dracue,E10+
Assetto Corsa,PS4,2016,Racing,505 Games,0,0.05,0,0.01,0.06,73,35,6.2,70,Kunos Simulazioni,E
Assetto Corsa,XOne,2016,Racing,505 Games,0,0.01,0,0,0.02,63,9,6.7,27,Kunos Simulazioni,E
Asura's Wrath,PS3,2012,Action,Capcom,0.18,0.12,0.06,0.05,0.4,71,39,7.4,169,CyberConnect2,T
Asura's Wrath,X360,2012,Action,Capcom,0.15,0.06,0.01,0.02,0.24,71,54,6.5,131,CyberConnect2,T
Atari Flashback Classics: Volume 1,PS4,2016,Misc,Atari,0.02,0,0,0,0.03,,,tbd,,"Atari, Atari SA",E
Atari Flashback Classics: Volume 1,XOne,2016,Misc,Atari,0.02,0,0,0,0.02,,,tbd,,"Atari, Atari SA",E
Atari Flashback Classics: Volume 2,PS4,2016,Misc,Atari,0.02,0,0,0,0.02,,,tbd,,"Atari, Atari SA",E
Atari Flashback Classics: Volume 2,XOne,2016,Misc,Atari,0.02,0,0,0,0.02,,,tbd,,"Atari, Atari SA",E
Atelier Ayesha: The Alchemist of Dusk,PS3,2012,Role-Playing,Tecmo Koei,0.06,0.04,0.14,0.02,0.26,70,17,6.6,120,Gust,T
Atelier Ayesha: The Alchemist of Dusk,PSV,2014,Role-Playing,Tecmo Koei,0,0,0.05,0,0.05,,,,,,
Atelier Escha & Logy: Alchemists of the Dusk Sky,PS3,2013,Role-Playing,Tecmo Koei,0.06,0.03,0.1,0.02,0.21,,,,,,
Atelier Escha & Logy: Alchemists of the Dusk Sky,PSV,2015,Role-Playing,Tecmo Koei,0,0,0.05,0,0.05,,,,,,
Atelier Firis: The Alchemist of the Mysterious Journey,PS4,2016,Role-Playing,Tecmo Koei,0,0,0.03,0,0.03,,,,,,
Atelier Firis: The Alchemist of the Mysterious Journey,PSV,2016,Role-Playing,Tecmo Koei,0,0,0.02,0,0.02,,,,,,
Atelier Meruru: Alchemist of Arland 3,PSV,2013,Role-Playing,Gust,0,0,0.06,0,0.06,,,,,,
Atelier Rorona: Alchemist of Arland,PSV,2013,Role-Playing,Nippon Ichi Software,0,0,0.05,0,0.05,,,,,,
Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,2016,Role-Playing,Tecmo Koei,0,0,0.03,0,0.03,,,,,Gust,T
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,Tecmo Koei,0.06,0.02,0.08,0.02,0.18,76,26,7.7,44,Gust,E10+
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,Role-Playing,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,75,32,8.1,47,Gust,
Atelier Sophie: The Alchemist of the Mysterious Book,PSV,2015,Role-Playing,Tecmo Koei,0,0,0.06,0,0.06,,,8,14,Gust,T
Atelier Sophie: The Alchemist of the Mysterious Book,PS3,2015,Role-Playing,Tecmo Koei,0,0,0.03,0,0.03,,,,,,
Atelier Totori: The Adventurer of Arland,PSV,2012,Role-Playing,Gust,0,0,0.09,0,0.09,,,,,,
A-Train: City Simulator,3DS,2014,Simulation,ArtDink,0,0,0.06,0,0.06,65,4,tbd,,Artdink,E10+
Attack on Titan (KOEI),PS4,2016,Action,Tecmo Koei,0.04,0.11,0.11,0.03,0.28,,,,,,
Attack on Titan (KOEI),PSV,2016,Action,Tecmo Koei,0,0,0.13,0,0.13,,,,,,
Attack on Titan (KOEI),PS3,2016,Action,Tecmo Koei,0,0,0.06,0,0.06,,,,,,
