name,value,year,lastValue,rank
Xbox One,NA,2009.7,NA,9
Nintendo Switch,NA,2009.7,NA,10
PlayStation 4,NA,2009.7,NA,11
Nintendo DS,27535107,2009.8,27518081,1
Nintendo Wii,21122267,2009.8,21118333,2
PlayStation 3,13422027,2009.8,13412601,3
Xbox 360,10564801,2009.8,10550866,4
Playstation Portable,10087725,2009.8,10073702,5
Nintendo Wii U,NA,2009.8,NA,6
PlayStation Vita,NA,2009.8,NA,7
Nintendo 3DS,NA,2009.8,NA,8
Xbox One,NA,2009.8,NA,9
Nintendo Switch,NA,2009.8,NA,10
PlayStation 4,NA,2009.8,NA,11
Nintendo DS,27539254,2009.9,27535107,1
Nintendo Wii,21131882,2009.9,21122267,2
PlayStation 3,13440921,2009.9,13422027,3
Xbox 360,10575604,2009.9,10564801,4
Playstation Portable,10097072,2009.9,10087725,5
Nintendo Wii U,NA,2009.9,NA,6
PlayStation Vita,NA,2009.9,NA,7
Nintendo 3DS,NA,2009.9,NA,8
Xbox One,NA,2009.9,NA,9
Nintendo Switch,NA,2009.9,NA,10
PlayStation 4,NA,2009.9,NA,11
Nintendo DS,20550000,2010,27539254,1
Nintendo Wii,17260000,2010,21131882,2
PlayStation 3,13830000,2010,13440921,3
Xbox 360,13530000,2010,10575604,4
Playstation Portable,9360000,2010,10097072,5
Nintendo Wii U,NA,2010,NA,6
PlayStation Vita,NA,2010,NA,7
Nintendo 3DS,NA,2010,NA,8
Xbox One,NA,2010,NA,9
Nintendo Switch,NA,2010,NA,10
PlayStation 4,NA,2010,NA,11
Nintendo DS,20561881,2010.1,20550000,1
Nintendo Wii,17275125,2010.1,17260000,2
PlayStation 3,13831141,2010.1,13830000,3
Xbox 360,13543339,2010.1,13530000,4
Playstation Portable,9377241,2010.1,9360000,5
Nintendo Wii U,NA,2010.1,NA,6
PlayStation Vita,NA,2010.1,NA,7
Nintendo 3DS,NA,2010.1,NA,8
Xbox One,NA,2010.1,NA,9
Nintendo Switch,NA,2010.1,NA,10
PlayStation 4,NA,2010.1,NA,11
Nintendo DS,20563406,2010.2,20561881,1
Nintendo Wii,17287708,2010.2,17275125,2
PlayStation 3,13847333,2010.2,13831141,3
Xbox 360,13548876,2010.2,13543339,4
Playstation Portable,9380255,2010.2,9377241,5
Nintendo Wii U,NA,2010.2,NA,6
PlayStation Vita,NA,2010.2,NA,7
Nintendo 3DS,NA,2010.2,NA,8
Xbox One,NA,2010.2,NA,9
Nintendo Switch,NA,2010.2,NA,10
PlayStation 4,NA,2010.2,NA,11
Nintendo DS,20572873,2010.3,20563406,1
Nintendo Wii,17297001,2010.3,17287708,2
PlayStation 3,13847772,2010.3,13847333,3
Xbox 360,13556072,2010.3,13548876,4
Playstation Portable,9388188,2010.3,9380255,5
Nintendo Wii U,NA,2010.3,NA,6
PlayStation Vita,NA,2010.3,NA,7
Nintendo 3DS,NA,2010.3,NA,8
Xbox One,NA,2010.3,NA,9
Nintendo Switch,NA,2010.3,NA,10
PlayStation 4,NA,2010.3,NA,11
Nintendo DS,20577947,2010.4,20572873,1
Nintendo Wii,17301977,2010.4,17297001,2
